ticker,year,EPS,BVPS,P/E,P/B,ROE,Debt/Equity,Current Ratio,Dividend Yield,Payout Ratio,Net Margin,Asset Turnover,Price/Sales,Free CF/Share,Operating CF/Share,Graham Number,Filing Date,Precio Post-Filing,Margen Graham (%),EPS Growth (%)
A,2020,2.33,15.770226537216828,43.874561891515995,6.473591216909502,0.14754771188179766,0.48409603940077983,2.3278800272665303,0.007037384679613553,0.3087621696801113,0.13466941374789287,0.5545860600394723,5.908561528376101,2.5954692556634305,2.9805825242718447,28.75333243666884,2020-12-18,117.81200103759765,-75.59,
A,2021,3.98,17.726973684210527,39.459702479338844,8.859944331044721,0.22453145295973279,0.5064019298571163,2.2242388758782203,0.004942797589925405,0.19504132231404958,0.1914859946194018,0.5902849135917796,7.555980376641874,4.2631578947368425,4.884868421052632,39.84282235762237,2021-12-17,154.0760009765625,-74.14,70.82
A,2022,4.19,17.74247491638796,32.9877591706539,7.797672007540057,0.23638077285579642,0.5219604147031103,2.030091348737238,0.006043515730667096,0.19936204146730463,0.18311915887850466,0.6502088872009115,6.040690712616822,3.4147157190635453,4.3879598662207355,40.89831075658841,2022-12-21,149.19399719238282,-72.59,5.28
A,2023,4.22,19.88095238095238,24.508693548387097,5.199449101796408,0.21214713430282292,0.4679213002566296,2.611353711790393,0.008719749871507082,0.21370967741935484,0.18147226693985072,0.6348601690978352,4.4476481779599,5.01360544217687,6.0272108843537415,43.447628572471345,2023-12-20,139.26400146484374,-68.8,0.72
A,2024,4.44,20.337931034482757,29.317222653219552,6.407239742285521,0.21854866056290267,0.5747711088504578,2.0891820580474936,0.007250614582203181,0.2125678820791311,0.19800307219662058,0.5495525915920986,5.8049001536098315,4.73448275862069,6.037931034482758,45.07504088012375,2024-12-20,135.31600036621094,-66.69,5.21
AAPL,2020,3.31,3.765476712094932,33.93593425162425,29.818269660080503,0.8786635853012749,1.871439722064923,1.3636044481554577,0.007227341517226967,0.24526658654264863,0.20913611278072236,0.8475615027416885,7.0972293729668685,4.2280138811865,4.649230448454163,16.746160101147666,2020-10-30,113.45666631062825,-85.24,
AAPL,2021,5.67,3.7775565837141025,25.916253509083226,38.89286546584245,1.5007132667617689,2.163924552226977,1.0745531195957954,0.0058958715429144335,0.15279890156316012,0.2588179335569424,1.042207736708053,6.707591178758778,5.56562398361035,6.229345884552985,21.95271694272321,2021-10-29,150.418337504069,-85.41,71.3
AAPL,2022,6.15,3.124822127430853,24.441823533260525,48.14034011071204,1.9695887275023682,2.6144616356173036,0.8793560286267226,0.006083954603424043,0.14870294480125848,0.2530964070519973,1.1178523337727317,6.186137718067193,6.872425646259799,7.532762624088375,20.794164130429582,2022-10-28,147.00333404541016,-85.85,8.47
AAPL,2023,6.16,3.947223589389663,27.790811789370586,43.37479145093811,1.5607601454639075,1.7875325845589418,0.9880116717592975,0.005573960673721321,0.1549048920047425,0.2530623426432028,1.087077369016657,7.032807935374461,6.325110448392176,7.021174930677783,23.38985227592101,2023-11-03,181.56666564941406,-87.12,0.16
AAPL,2024,6.11,3.711600978715614,37.287278415656736,61.37243774486391,1.6459350307287095,1.872326602282704,0.8673125765340832,0.0043585983369965175,0.16252026969360758,0.23971255769943867,1.0713874732862074,8.93822887866815,7.091275991064264,7.706965094592383,22.588765892561042,2024-11-01,224.25499979654947,-89.93,-0.81
ABBV,2020,2.73,7.844031193761248,38.69563474870018,13.660068063628021,0.3530131538696849,6.581217497705721,0.8434109068071596,0.04319807993604265,1.67157712305026,0.10077722469653305,0.30421412678909443,3.8996386778447296,10.071985602879424,10.550689862027594,21.950389884391225,2021-02-19,107.01666641235352,-79.49,
ABBV,2021,6.48,8.705084745762711,20.76399237567146,15.554127725856699,0.7490913811007269,4.976895119418484,0.7935443541512758,0.038642565656059884,0.8023739386588113,0.2053846290727263,0.3835213507223826,4.2646048721462,12.423728813559322,12.868361581920905,35.62585235376416,2022-02-18,146.23199768066405,-75.64,137.36
ABBV,2022,6.65,9.742518351214004,24.181421933085506,16.58811348093196,0.6859858583516866,3.667033731308682,0.9636062021802424,0.03508945890363312,0.8485130111524164,0.20387914700106796,0.4182414178163611,4.9300876769903885,13.691699604743082,14.084133258046302,38.18015594913666,2023-02-17,151.752001953125,-74.84,2.62
ABBV,2023,2.73,5.85972850678733,56.34113921447666,26.446617760617762,0.4694015444015444,5.732142857142857,0.8721228297349436,0.0384653342626233,2.1671807526218383,0.0895283331492323,0.40321874234472316,5.044128281600942,12.478506787330316,12.917986425339366,18.971921977738884,2024-02-20,177.25499979654947,-89.3,-58.95
ABBV,2024,2.4,1.8795929903900508,73.48090229079008,94.54174436090226,1.2866165413533834,20.193684210526317,0.6601976825208392,0.03507222651854788,2.5771388499298737,0.0759399297049739,0.4167918260444951,5.580134554620655,10.080271339739966,10.630864895421142,10.074622647080274,2025-02-14,197.88600158691406,-94.91,-12.09
ABNB,2020,-16.12,10.204502695498359,-9.105141605281549,14.385806381800432,-1.5799651455673978,0.8028884310094863,1.7347800362622596,0.0,0.0,-1.3571479951299494,0.32199393051460046,12.357024674982142,-2.34595569747119,-2.214535646339362,,2021-02-26,188.8516642252604,,
ABNB,2021,-0.57,7.751623376623376,-291.3575,21.478081675392673,-0.073717277486911,0.5063874345549738,1.947790533102689,0.0,0.0,-0.05874499332443257,0.43711701196381675,17.115794392523366,3.513590909090909,3.5546980519480518,,2022-02-25,151.58499908447266,,-96.46
